"","city","citycode","Occupational Diversity","Occupational Diversity Excluding First Quartile Exposure Jobs","Occupational Diversity Excluding the Bottom Two Exposure Levels","wage"
"256","衢州",330800,1.831672,1.561643,0.9827229,NA
"257","襄阳",420600,1.915311,1.570228,0.9968822,NA
"258","西双版纳",532800,1.927797,1.583832,0.9996052,98022.36
"259","西宁",630100,1.938856,1.532475,0.9893209,NA
"260","西安",610100,1.914507,1.54393,0.9999722,117932
"261","许昌",411000,1.921743,1.540001,0.9851295,72743
"262","贵港",450800,1.863546,1.574431,0.9850906,85020.66
"263","贵阳",520100,1.936655,1.55595,0.984593,105719
"264","贺州",451100,1.849543,1.532676,0.9229679,89825.81
"265","资阳",512000,1.905387,1.573794,0.9974274,NA
"266","赣州",360700,1.903113,1.576292,0.9997459,88145
"267","赤峰",150400,1.959964,1.549797,0.9991438,91563.32
"268","辽源",220400,1.957485,1.572581,0.9972352,NA
"269","辽阳",211000,1.943488,1.573304,0.9927225,90865
"270","达州",511700,1.867107,1.54879,0.9951643,NA
"271","运城",140800,1.912237,1.566661,0.9971836,76568
"272","连云港",320700,1.84444,1.568835,0.9984553,NA
"273","迪庆",533400,1.727016,1.58123,0.9978528,137794
"274","通化",220500,1.943784,1.562953,0.9681647,NA
"275","通辽",150500,1.959993,1.57801,0.9912043,94237.9
"276","遂宁",510900,1.825844,1.58229,0.9992645,NA
"277","遵义",520300,1.914042,1.575721,0.9959834,107518
"278","邢台",130500,1.937486,1.562368,0.9988798,78027
"279","那曲",540600,1.527324,1.582799,1,NA
"280","邯郸",130400,1.944939,1.559773,0.9981677,86056
"281","邵阳",430500,1.878142,1.541417,0.9949474,55200
"282","郑州",410100,1.975865,1.55431,0.9993774,97244
"283","郴州",431000,1.906626,1.56119,0.9998821,60530
"284","鄂尔多斯",150600,1.861328,1.582729,0.9968061,122083.31
"285","鄂州",420700,1.657869,1.583003,0.9983284,NA
"286","酒泉",620900,1.81573,1.579797,0.9989595,91807.97
"287","重庆",500100,1.88798,1.557326,0.9998394,111424
"288","金华",330700,1.874824,1.570512,0.9915861,NA
"289","金昌",620300,1.807559,1.567138,0.9732276,94440.35
"290","钦州",450700,1.808868,1.582839,0.9999404,85354.12
"291","铁岭",211200,1.919477,1.580282,0.9932064,76488
"292","铜仁",520600,1.83395,1.58448,0.9999909,NA
"293","铜川",610200,1.836,1.572974,0.9866967,77761
"294","铜陵",340700,1.708143,1.567902,0.9999869,100968
"295","银川",640100,1.95221,1.561637,0.9976433,NA
"296","锦州",210700,1.943773,1.568815,0.9960261,79014
"297","镇江",321100,1.815873,1.559937,0.9898314,NA
"298","长春",220100,1.932086,1.563089,0.978722,NA
"299","长沙",430100,1.922206,1.54653,0.9999963,121171
"300","长治",140400,1.925838,1.559705,0.9996657,90596
"301","阜新",210900,1.922992,1.577898,0.9894941,74365
"302","阜阳",341200,1.885545,1.545012,0.999916,87591
"303","防城港",450600,1.797447,1.580175,0.9981654,92927.68
"304","阳江",441700,1.894666,1.550074,0.9907894,96956.96
"305","阳泉",140300,1.90843,1.553632,0.9635537,82474
"306","阿克苏",652900,1.871499,1.525269,0.9684848,NA
"307","阿勒泰",654300,1.885964,1.561862,0.9986359,NA
"308","阿坝",513200,1.841099,1.44507,0.9656361,NA
"309","阿里",542500,1.716894,1.3831,0.9852281,NA
"310","陇南",621200,1.886983,1.566743,0.995198,81721.21
"311","随州",421300,1.929258,1.582811,0.998722,NA
"312","雅安",511800,1.779971,1.573307,0.9840714,NA
"313","青岛",370200,1.902032,1.560855,0.9998972,NA
"314","鞍山",210300,1.914199,1.576752,0.9994334,79137
"315","韶关",440200,1.927584,1.556903,0.9893228,107183
"316","马鞍山",340500,1.777511,1.565529,0.9764457,109561
"317","驻马店",411700,1.884626,1.5703,0.9914176,65450
"318","鸡西",230300,1.968086,1.547501,0.9483575,76557
"319","鹤壁",410600,1.836579,1.5756,0.9996734,67646
"320","鹤岗",230400,1.943205,1.509595,0.9883369,73675
"321","鹰潭",360600,1.82338,1.55442,0.9835019,90963
"322","黄冈",421100,1.855273,1.568951,0.9968582,NA
"323","黄南",632300,1.879147,1.448816,1,NA
"324","黄山",341000,1.809669,1.557372,0.9992444,96695
"325","黄石",420200,1.769739,1.576201,0.9998721,NA
"326","黑河",231100,1.973316,1.559188,0.9867867,72607
"327","黔东南",522600,1.832035,1.541214,0.982231,90962
"328","黔南",522700,1.830418,1.580566,0.9989027,92881
"329","黔西南",522300,1.866312,1.575808,0.9936507,100821
"330","齐齐哈尔",230200,1.918297,1.578911,0.9919645,77480
"331","龙岩",350800,1.958892,1.535589,0.9975771,102124
